FileName,Method,ClassName,Severity,Smell
SelectCommand.java,,SelectCommand,3,data-class
AnnealingLayoutSettings.java,,AnnealingLayoutSettings,4,data-class
MoenLayoutAlgorithm.java,,MoenLayoutAlgorithm,1,data-class
AnnealingLayoutAlgorithm.java,,AnnealingLayoutAlgorithm,4,data-class
SugiyamaLayoutAlgorithm.java,,SugiyamaLayoutAlgorithm.CellWrapper,2,data-class
GEMLayoutAlgorithm.java,,GEMLayoutAlgorithm,4,data-class
JGraphJGX.java,,JGraphJGX.DelayedAttributeID,4,data-class
CsWord.java,,CsWord,1,data-class
ScrollUp.java,,ScrollUp,1,data-class
JextEvent.java,,JextEvent,3,data-class
PrintingOptions.java,,PrintingOptions,4,data-class
PrintText.java,,PrintText.PrintableText,3,data-class
Jext.java,,Jext,4,data-class
PackageCoverage.java,,PackageCoverage,2,data-class
PackageMetric.java,,PackageMetric,1,data-class
XMLSchedulingDataProcessor.java,,XMLSchedulingDataProcessor,4,data-class
SchedulerStateRecord.java,,SchedulerStateRecord,4,data-class
JobStoreSupport.java,,JobStoreSupport,4,data-class
CronExpression.java,,CronExpression,3,data-class
StdSchedulerFactory.java,,StdSchedulerFactory,4,data-class
MP3Frame.java,,MP3Frame,1,data-class
MorphShape.java,,MorphShape,2,data-class
Font.java,,Font.Chars,3,data-class
FontDefinition.java,,FontDefinition.Glyph,3,data-class
FontDefinition.java,,FontDefinition.KerningPair,3,data-class
RenderingHintsKeyExt.java,,RenderingHintsKeyExt,1,data-class
WebMacro.java,,WebMacro,1,data-class
SimpleMBean.java,,SimpleMBean,1,data-class
XHtmlToWikiConfig.java,,XHtmlToWikiConfig,4,data-class
SpamFilter.java,,SpamFilter,4,data-class
SpamFilter.java,,SpamFilter.Host,2,data-class
JSPWikiMarkupParser.java,,JSPWikiMarkupParser,4,data-class
Entry.java,,Entry,3,data-class
JGraphCoordinateAssignment.java,,JGraphCoordinateAssignment,3,data-class
BusinessObjectWrapper2.java,,BusinessObjectWrapper2,3,data-class
EdgeRenderer.java,,EdgeRenderer,4,data-class
GraphLayoutCache.java,,GraphLayoutCache,3,data-class
JGraphOrganicLayout.java,,JGraphOrganicLayout.CellWrapper,4,data-class
DataTransactionLogEntry.java,,DataTransactionLogEntry,1,data-class
SerializationHelper.java,,SerializationHelper,1,data-class
User.java,,User,3,data-class
UserAdapter.java,,UserAdapter,1,data-class
Primitives.java,,Primitives,3,data-class
BadConstructorsInNestedObjects.java,,BadConstructorsInNestedObjects.Employee,4,data-class
AggregateDomainObject.java,,AggregateDomainObject.Book,3,data-class
AggregateDomainObject.java,,AggregateDomainObject.Author,3,data-class
Rental.java,,Rental,3,data-class
RentalItem.java,,RentalItem,3,data-class
RentalItemType.java,,RentalItemType,3,data-class
Functions.java,,Functions,1,data-class
Units.java,,Units,1,data-class
PhysicalConstants.java,,PhysicalConstants,1,data-class
PickableVertexPaintTransformer.java,,PickableVertexPaintTransformer,1,data-class
GraphElementParser.java,,GraphElementParser,1,data-class
GraphZoomScrollPane.java,,GraphZoomScrollPane,3,data-class
JDBCResourceManager.java,,JDBCResourceManager,1,data-class
MessageLoadedEvent.java,,MessageLoadedEvent,3,data-class
CachingFolderInfo.java,,CachingFolderInfo,4,data-class
ResponseWrapper.java,,ResponseWrapper,3,data-class
PropertyValueVetoException.java,,PropertyValueVetoException,3,data-class
FolderInfo.java,,FolderInfo,4,data-class
StoreInfo.java,,StoreInfo,4,data-class
DesktopConfiguration.java,,DesktopConfiguration,3,data-class
Email.java,,Email.EmailItem,3,data-class
WeatherData.java,,WeatherData.Alert,3,data-class
DefaultApplication.java,,DefaultApplication.ApplicationEvent,3,data-class
SharedNameValue.java,,SharedNameValue,3,data-class
IMDB.java,,IMDB,4,data-class
TrafficConfiguration.java,,TrafficConfiguration.Location,3,data-class
Traffic.java,,Traffic.Result,3,data-class
UpcomingConfiguration.java,,UpcomingConfiguration.Location,3,data-class
Videocasting.java,,Videocasting,4,data-class
Podcasting.java,,Podcasting,4,data-class
SiteEditorContext.java,,SiteEditorContext,2,data-class
AbstractTargetScheduleView.java,,AbstractTargetScheduleView,4,data-class
Audit.java,,Audit,4,data-class
MembersCommand.java,,MembersCommand,3,data-class
AddMembersCommand.java,,AddMembersCommand,4,data-class
MoveTargetsCommand.java,,MoveTargetsCommand,4,data-class
MemberOfCommand.java,,MemberOfCommand,3,data-class
AddParentsCommand.java,,AddParentsCommand,3,data-class
TargetManagerImpl.java,,TargetManagerImpl,4,data-class
HarvestCoordinatorImpl.java,,HarvestCoordinatorImpl,4,data-class
PartialEvaluator.java,,PartialEvaluator,3,data-class
EvaluationShrinker.java,,EvaluationShrinker,4,data-class
Utilities.java,,Utilities,1,data-class
Technorati.java,,Technorati.Weblog,3,data-class
StaticThemeTemplate.java,,StaticThemeTemplate,4,data-class
StaticTemplate.java,,StaticTemplate,4,data-class
IncomingReferrer.java,,IncomingReferrer,3,data-class
CreateWeblogBean.java,,CreateWeblogBean,4,data-class
ParsedTabItem.java,,ParsedTabItem,4,data-class
WeblogTrackbackRequest.java,,WeblogTrackbackRequest,3,data-class
WatchWebHandler.java,,WatchWebHandler,3,data-class
UserModuleProcessor.java,,UserModuleProcessor,3,data-class
ForumPermission.java,,ForumPermission,2,data-class
CmsPermission.java,,CmsPermission,3,data-class
MVNForumConstant.java,,MVNForumConstant,1,data-class
MVNForumGlobal.java,,MVNForumGlobal,1,data-class
RankBean.java,,RankBean,4,data-class
MessageBean.java,,MessageBean,4,data-class
MessageStatisticsBean.java,,MessageStatisticsBean,4,data-class
Link.java,,Link,2,data-class
WorkQueueFrontier.java,,WorkQueueFrontier,3,data-class
GanttDialogInfo.java,,GanttDialogInfo,1,data-class
ProjectMenu.java,,ProjectMenu,4,data-class
HumanResourceManager.java,,HumanResourceManager.CustomPropertyDefinitionImpl,3,data-class
CustomColumEvent.java,,CustomColumEvent,3,data-class
CustomPropertiesTagHandler.java,,CustomPropertiesTagHandler.CustomPropertiesStructure,2,data-class
TaskRendererImpl.java,,TaskRendererImpl,4,data-class
BrowseHookFactory.java,,BrowseHookFactory,1,data-class
StructuredMenuItemHolder.java,,StructuredMenuItemHolder,3,data-class
Benchmark.java,,Benchmark.BenchmarkResult,2,data-class
PrintVisitor.java,,PrintVisitor,1,data-class
ViewerModelEvent.java,,ViewerModelEvent,3,data-class
Metric.java,,Metric,4,data-class
PdfCollection.java,,PdfCollection,1,data-class
PdfTargetDictionary.java,,PdfTargetDictionary,1,data-class
QRCode.java,,QRCode,4,data-class
RichMediaActivation.java,,RichMediaActivation,1,data-class
RichMediaPresentation.java,,RichMediaPresentation,1,data-class
Image.java,,Image,3,data-class
XmpMMSchema.java,,XmpMMSchema,1,data-class
GraphicsState.java,,GraphicsState,4,data-class
ColumnText.java,,ColumnText,3,data-class
PdfStamperImp.java,,PdfStamperImp,4,data-class
PdfDocument.java,,PdfDocument,4,data-class
TrueTypeFont.java,,TrueTypeFont,4,data-class
PdfReader.java,,PdfReader,4,data-class
VFS.java,,VFS,1,data-class
VFSBrowser.java,,VFSBrowser,4,data-class
Buffer.java,,Buffer,4,data-class
JEditBuffer.java,,JEditBuffer,4,data-class
XModeHandler.java,,XModeHandler.TagDecl,1,data-class
SpecialFoldersItem.java,,SpecialFoldersItem,1,data-class
IncomingItem.java,,IncomingItem,1,data-class
ComposerItem.java,,ComposerItem,1,data-class
IMAPFolder.java,,IMAPFolder,3,data-class
ODGInputFormat.java,,ODGInputFormat,4,data-class
Insets2D.java,,Insets2D.Float,3,data-class
Insets2D.java,,Insets2D.Double,4,data-class
SVGInputFormat.java,,SVGInputFormat,4,data-class
SVGConstants.java,,SVGConstants,1,data-class
ODGConstants.java,,ODGConstants,1,data-class
Tube.java,,Tube,3,data-class
SplineMesh.java,,SplineMesh,4,data-class
PhotonMap.java,,PhotonMap,4,data-class
Raytracer.java,,Raytracer,4,data-class
TextureImageInfo.java,,TextureImageInfo,4,data-class
KeystrokeRecord.java,,KeystrokeRecord,3,data-class
HttpSPMFileSystem.java,,HttpSPMFileSystem,2,data-class
Raster.java,,Raster,4,data-class
TriMeshBeveler.java,,TriMeshBeveler,4,data-class
SqlFileScanner.java,,SqlFileScanner,3,data-class
DateTimeType.java,,DateTimeType,4,data-class
ParserDML.java,,ParserDML,3,data-class
QuerySpecification.java,,QuerySpecification,4,data-class
ExpressionLogical.java,,ExpressionLogical,4,data-class
FunctionCustom.java,,FunctionCustom,4,data-class
ParserDDL.java,,ParserDDL,4,data-class
ColumnBase.java,,ColumnBase,4,data-class
Expression.java,,Expression,4,data-class
StatementSchema.java,,StatementSchema,4,data-class
RowActionBase.java,,RowActionBase,1,data-class
StatementDML.java,,StatementDML,4,data-class
Routine.java,,Routine,3,data-class
DatabaseInformationFull.java,,DatabaseInformationFull,4,data-class
IndexAVL.java,,IndexAVL,4,data-class
ActionNames.java,,ActionNames,1,data-class
HTTPHC3Impl.java,,HTTPHC3Impl,3,data-class
ListenerResultWrapper.java,,ListenerResultWrapper,3,data-class
XMLEntityManager.java,,XMLEntityManager,4,data-class
XMLEntityManager.java,,XMLEntityManager.EncodingInfo,1,data-class
XMLDocumentFragmentScannerImpl.java,,XMLDocumentFragmentScannerImpl,4,data-class
XMLScanner.java,,XMLScanner,4,data-class
XMLDTDProcessor.java,,XMLDTDProcessor,4,data-class
XMLDTDValidator.java,,XMLDTDValidator,4,data-class
DOMOutputImpl.java,,DOMOutputImpl,3,data-class
DOMInputImpl.java,,DOMInputImpl,4,data-class
DocumentImpl.java,,DocumentImpl,4,data-class
DOMLocatorImpl.java,,DOMLocatorImpl,4,data-class
XMLInputSource.java,,XMLInputSource,4,data-class
XSDHandler.java,,XSDHandler,4,data-class
XSAttributeChecker.java,,XSAttributeChecker,4,data-class
SAXInputSource.java,,SAXInputSource,3,data-class
DOMSerializerImpl.java,,DOMSerializerImpl,4,data-class
XSDFACM.java,,XSDFACM,3,data-class
XMLSchemaValidator.java,,XMLSchemaValidator,4,data-class
sparql.java,,sparql,1,data-class
Location.java,,Location,3,data-class
Node.java,,Node,1,data-class
ConnectionTableNIO.java,,ConnectionTableNIO,1,data-class
S3_PING.java,,S3_PING.ListBucketResponse,1,data-class
SFC.java,,SFC,3,data-class
Configurator.java,,Configurator,3,data-class
GUI.java,,GUI,4,data-class
TerrainGenerator.java,,TerrainGenerator,4,data-class
Specification.java,,Specification,2,data-class
Specification.java,,Specification.ModifierReader,1,data-class
Player.java,,Player,4,data-class
ColonyPlan.java,,ColonyPlan,4,data-class
AIColony.java,,AIColony,4,data-class
ColopediaPanel.java,,ColopediaPanel,4,data-class
InteractionsEditorKit.java,,InteractionsEditorKit,1,data-class
InteractionsPaneOptions.java,,InteractionsPaneOptions,3,data-class
HighlightStatus.java,,HighlightStatus,3,data-class
DefinitionsDocument.java,,DefinitionsDocument,3,data-class
FindReplacePanel.java,,FindReplacePanel,4,data-class
KeyBindingManager.java,,KeyBindingManager.KeyStrokeData,3,data-class
ConfigFrame.java,,ConfigFrame,4,data-class
VariableStack.java,,VariableStack,2,data-class
ExtensionEvent.java,,ExtensionEvent,1,data-class
SelectionEvent.java,,SelectionEvent,1,data-class
FunctionCall.java,,FunctionCall,3,data-class
SortSettings.java,,SortSettings,3,data-class
ToStream.java,,ToStream,4,data-class
SQLDocument.java,,SQLDocument,4,data-class
DOM2DTM.java,,DOM2DTM,4,data-class
SerializableLocatorImpl.java,,SerializableLocatorImpl,3,data-class
TransformerIdentityImpl.java,,TransformerIdentityImpl,3,data-class
JAIFEnumConstant.java,,JAIFEnumConstant,1,data-class
SourceSinkInfo.java,,SourceSinkInfo,4,data-class
GeneralWarningProperty.java,,GeneralWarningProperty,1,data-class
RefComparisonWarningProperty.java,,RefComparisonWarningProperty,1,data-class
InconsistentSyncWarningProperty.java,,InconsistentSyncWarningProperty,1,data-class
NullDerefProperty.java,,NullDerefProperty,1,data-class
DeadLocalStoreProperty.java,,DeadLocalStoreProperty,1,data-class
Father.java,,Father,1,data-class
WebSphere5TransactionManagerFactory.java,,WebSphere5TransactionManagerFactory,2,data-class
TransactionManagerFactoryDummy.java,,TransactionManagerFactoryDummy,2,data-class
WebSphereTransactionManagerFactory.java,,WebSphereTransactionManagerFactory,2,data-class
WebSphere51TransactionManagerFactory.java,,WebSphere51TransactionManagerFactory,2,data-class
AbstractTransactionContext.java,,AbstractTransactionContext,3,data-class
XercesOutputFormat.java,,XercesOutputFormat,2,data-class
HaveLinkWithURLCondition.java,,HaveLinkWithURLCondition,1,data-class
NodeMenuRenderer.java,,NodeMenuRenderer,1,data-class
Parameter.java,,Parameter,2,data-class
NewUserConfig.java,,NewUserConfig.JoinGroup,4,data-class
OrganizationConfig.java,,OrganizationConfig,3,data-class
OrganizationConfig.java,,OrganizationConfig.Group,3,data-class
OrganizationConfig.java,,OrganizationConfig.User,4,data-class
ActionOutput.java,,ActionOutput,3,data-class
ActionData.java,,ActionData,3,data-class
FolderImpl.java,,FolderImpl,3,data-class
AccountListenerConfig.java,,AccountListenerConfig,3,data-class
ResourceBundleDescriptionImpl.java,,ResourceBundleDescriptionImpl,3,data-class
CommunityPortal.java,,CommunityPortal,3,data-class
SpiderWebPlot.java,,SpiderWebPlot,2,data-class
QueryTermExtractor.java,,QueryTermExtractor,1,data-class
SimpleFragmenter.java,,SimpleFragmenter,1,data-class
WeightedTerm.java,,WeightedTerm,2,data-class
SegmentInfos.java,,SegmentInfos,3,data-class
RemoteAddrValve.java,,RemoteAddrValve,1,data-class
JDBCAccessLogValve.java,,JDBCAccessLogValve,1,data-class
SingleSignOnMessage.java,,SingleSignOnMessage,4,data-class
BotGUI.java,,BotGUI,1,data-class
CLLRM13.java,,CLLRM13,1,data-class
UnitLocation.java,,UnitLocation,2,data-class
Tank.java,,Tank,4,data-class
BattleArmor.java,,BattleArmor,4,data-class
JRGenericPrintElementParameterFactory.java,,JRGenericPrintElementParameterFactory,1,data-class
JRGenericPrintElementParameterFactory.java,,JRGenericPrintElementParameterFactory.Parameter,1,data-class
JRFillHighLowDataset.java,,JRFillHighLowDataset.HighLowElement,3,data-class
SimpleFontFamily.java,,SimpleFontFamily,4,data-class
Evaluation.java,,Evaluation,3,data-class
Classifier.java,,Classifier,4,data-class
BatchClustererEvent.java,,BatchClustererEvent,3,data-class
UMLStereotypeTagDefinitionListModel.java,,UMLStereotypeTagDefinitionListModel,1,data-class
WizStepManyTextFields.java,,WizStepManyTextFields,1,data-class
CPPLexer.java,,CPPLexer,1,data-class
FieldMethodZero.java,,FieldMethodZero,1,data-class
JVM.java,,JVM.MethodData,1,data-class
Ruby19Parser.java,,Ruby19Parser,4,data-class
CorruptPowerPointFileException.java,,CorruptPowerPointFileException,1,data-class
HSLFException.java,,HSLFException,1,data-class
SlideShow.java,,SlideShow,4,data-class
DocumentParseFixture.java,Output(),DocumentParseFixture,1,long-method
DocumentParseFixture.java,Structure(),DocumentParseFixture,1,long-method
DocumentParseFixture.java,GenerateOutput(Parse),DocumentParseFixture,1,long-method
DocumentParseFixture.java,dumpTables(Parse),DocumentParseFixture,1,long-method
DocumentParseFixture.java,dumpRows(Parse),DocumentParseFixture,1,long-method
DocumentParseFixture.java,dumpCells(Parse),DocumentParseFixture,1,long-method
ReferenceFixture.java,Result(),ReferenceFixture,1,long-method
GrammerException.java,GrammerException(intString),GrammerException,1,long-method
GrammerException.java,GrammerException(intintintString),GrammerException,1,long-method
GrammerException.java,GrammerException(StringException),GrammerException,1,long-method
GrammerException.java,GrammerException(intintString),GrammerException,1,long-method
SourceCodeParser.java,parseMethod(),SourceCodeParser,1,long-method
SourceCodeParser.java,parseMethodAttributes(MethodArrayListSourceCodeParser.LabeledInstructionsAttribute_CodeArrayList),SourceCodeParser,1,long-method
SourceCodeParser.java,parseMethodInstructions(Method),SourceCodeParser,4,long-method
SourceCodeBuilder.java,toString(Attribute_CodeHashSet),SourceCodeBuilder,4,long-method
WeekendHolidayCalendar.java,isWeekend(Calendar),WeekendHolidayCalendar,1,long-method
WeekendHolidayCalendar.java,isHoliday(Calendar),WeekendHolidayCalendar,1,long-method
HolidayCalendarFactoryImpl.java,getHolidayCalendar(String),HolidayCalendarFactoryImpl,1,long-method
HolidayCalendarFactoryImpl.java,getHolidayCalendar(StringClass),HolidayCalendarFactoryImpl,1,long-method
HolidayCalendarFactoryImpl.java,getAvailableLocales(),HolidayCalendarFactoryImpl,1,long-method
PlainSwap.java,getCurrency(),PlainSwap,1,long-method
ScheduleGenerator.java,generateSchedule(CalendarCalendarintintStubTypePeriodint),ScheduleGenerator,3,long-method
DOMParser.java,DOMParser(),DOMParser,1,long-method
DOMParser.java,doctypeDecl(StringStringStringAugmentations),DOMParser,1,long-method
DOMParser.java,getParserSubVersion(),DOMParser,1,long-method
DOMFragmentParser.java,DOMFragmentParser(),DOMFragmentParser,1,long-method
DOMFragmentParser.java,parse(StringDocumentFragment),DOMFragmentParser,1,long-method
DOMFragmentParser.java,parse(InputSourceDocumentFragment),DOMFragmentParser,1,long-method
HTMLTagBalancer.java,startElement(QNameXMLAttributesAugmentations),HTMLTagBalancer,4,long-method
ObjectFactory.java,createObject(StringStringString),ObjectFactory,3,long-method
HTMLConfiguration.java,setInputSource(XMLInputSource),HTMLConfiguration,1,long-method
MemoryUsage.java,sizeOf(MemoryUsage.Creator),MemoryUsage,1,long-method
MemoryUsage.java,getUsedMemory(),MemoryUsage,1,long-method
MemoryUsage.java,gc(),MemoryUsage,1,long-method
MemoryUsage.java,main(String[]),MemoryUsage,1,long-method
MemoryUsage.java,MemoryComparator(MemoryUsage.CreatorMemoryUsage.CreatorString),MemoryUsage.MemoryComparator,1,long-method
TLinkedList.java,IteratorImpl(int),TLinkedList.IteratorImpl,1,long-method
JMSBroadcastingListener.java,initialize(CacheConfig),JMSBroadcastingListener,1,long-method
JMSBroadcastingListener.java,finialize(),JMSBroadcastingListener,1,long-method
JMSBroadcastingListener.java,sendNotification(ClusterNotification),JMSBroadcastingListener,1,long-method
JMSBroadcastingListener.java,getInitialContext(),JMSBroadcastingListener,1,long-method
JMSBroadcastingListener.java,onMessage(Message),JMSBroadcastingListener,1,long-method
AbstractConcurrentReadCache.java,put(ObjectObjectboolean),AbstractConcurrentReadCache,3,long-method
AbstractConcurrentReadCache.java,remove(Objectbooleanboolean),AbstractConcurrentReadCache,3,long-method
Registry.java,Registry(),Registry,1,long-method
Registry.java,clear(),Registry,1,long-method
Registry.java,comparator(),Registry,1,long-method
Registry.java,containsKey(String[]),Registry,1,long-method
Registry.java,get(String[]),Registry,1,long-method
GraphTransformer.java,makeGraph(ClassGenMethodGen),GraphTransformer,3,long-method
GraphAction.java,discoverEdge(Edge),GraphAction.LampLighter,3,long-method
GraphXmlSerializer.java,GraphXmlSerializer(GraphPluginISessionGraphMainPanelTabString),GraphXmlSerializer,1,long-method
GraphXmlSerializer.java,write(GraphControllerXmlBean),GraphXmlSerializer,1,long-method
GraphXmlSerializer.java,read(),GraphXmlSerializer,1,long-method
GraphXmlSerializer.java,getFileName(StringStringString),GraphXmlSerializer,1,long-method
ConstraintData.java,replaceCopiedColsByReferences(ColumnInfo[]boolean),ConstraintData,1,long-method
BooleanLiteralAST.java,BooleanLiteralAST(Token),BooleanLiteralAST,1,long-method
BooleanLiteralAST.java,computeType(),BooleanLiteralAST,1,long-method
BooleanLiteralAST.java,computeExceptions(),BooleanLiteralAST,1,long-method
BooleanLiteralAST.java,computeValue(),BooleanLiteralAST,1,long-method
BooleanLiteralAST.java,getVarList(),BooleanLiteralAST,1,long-method
JavaParser.java,compilationUnit(),JavaParser,3,long-method
JavaParser.java,field(),JavaParser,3,long-method
MT940.java,MT940(MainFrameAccountChooser),MT940,1,long-method
MT940.java,importFile(SessionFile),MT940,1,long-method
AccountEntriesPanel.java,getListCellRendererComponent(JListObjectintbooleanboolean),AccountEntriesPanel.EntryCellRenderer,1,long-method
JavaFileGenerator.java,JavaFileGenerator(StringMap),JavaFileGenerator,1,long-method
JavaFileGenerator.java,generate(PrintWriter),JavaFileGenerator,1,long-method
JavaFileGenerator.java,peekLine(BufferedReader),JavaFileGenerator,1,long-method
JavaFileGenerator.java,getLine(BufferedReader),JavaFileGenerator,1,long-method
JavaFileGenerator.java,evaluate(String),JavaFileGenerator,1,long-method
JJDoc.java,emitTokenProductions(GeneratorList),JJDoc,1,long-method
OptionsDialog.java,OptionsDialog(FrameStringStringString),OptionsDialog,1,long-method
OptionsDialog.java,OptionsDialog(DialogStringStringString),OptionsDialog,1,long-method
OptionsDialog.java,addOptionGroup(OptionGroup),OptionsDialog,1,long-method
OptionsDialog.java,addOptionPane(OptionPane),OptionsDialog,1,long-method
OptionsDialog.java,ok(),OptionsDialog,1,long-method
DOMSerializer.java,rSerializeNode(WriterNodeStringStringintintint),DOMSerializer,4,long-method
JUnit3Builder.java,runnerForClass(Class),JUnit3Builder,1,long-method
